% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 87.92    0.209494          97      2159           read
  4.96    0.011813         473        25           munmap
  1.59    0.003788           3      1443         2 openat
  1.56    0.003718           1      2524           fstat
  1.16    0.002761           1      2116         6 lseek
  0.92    0.002184           2      1444           close
  0.82    0.001962           3       690           getdents
  0.66    0.001583           2      1045      1033 ioctl
  0.39    0.000928           3       343           lstat
  0.01    0.000019           1        26           brk
  0.00    0.000011           0        68           mmap
  0.00    0.000004           1         4           write
  0.00    0.000001           0        68           rt_sigaction
  0.00    0.000001           0         3           sigaltstack
  0.00    0.000000           0       268        56 stat
  0.00    0.000000           0        24           mprotect
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0        13        13 access
  0.00    0.000000           0         3           dup
  0.00    0.000000           0         1           getpid
  0.00    0.000000           0         5         3 execve
  0.00    0.000000           0         3           fcntl
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         4         2 readlink
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         2           arch_prctl
  0.00    0.000000           0        10           futex
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00    0.238267                 12302      1115 total
